Account;Account Type;Run as Root;Permission Type;Permission
Everyone;wellknown;False;allow;full
ACCIONA\algonzalezru;user;False;allow;change
ACCIONA\anadatadmin14;user;False;allow;change
ACCIONA\esinda_ext;user;False;allow;change
ACCIONA\madiazes_ext;user;False;allow;change
ACCIONA\jmendezona1;user;False;allow;change
ACCIONA\mezcurdia;user;False;allow;change
ACCIONA\sgarayoa;user;False;allow;change
ACCIONA\lescartin;user;False;allow;change
ACCIONA\mmartinez50;user;False;allow;change
ACCIONA\jvegas1;user;False;allow;change
ACCIONA\lgoni;user;False;allow;change
ACCIONA\berhardt;user;False;allow;change
ACCIONA\rzalvide;user;False;allow;change
ACCIONA\caragon;user;False;allow;change
ACCIONA\ncruzb;user;False;allow;change
ACCIONA\anadatadmin3;user;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-1151;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-1156;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-1157;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-12774;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-12910;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-12973;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-13104;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-2010;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4105;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4275;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4324;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4337;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4346;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4364;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4371;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4388;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4431;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4440;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4505;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4533;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4545;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4547;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4639;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4770;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4774;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4813;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4843;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4895;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-4957;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5109;-;False;allow;change
BETA\domain admins;group;False;allow;full
SID:S-1-5-21-3809049748-4289420245-1520328038-5142;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5163;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5201;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5213;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5263;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5345;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5348;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5422;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5467;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5475;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5476;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5547;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5556;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5560;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5570;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5620;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5635;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5636;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5708;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5711;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5832;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5883;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5888;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5899;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5929;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5948;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-5980;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6099;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6114;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6116;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6168;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6230;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6243;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6256;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6301;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6356;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6443;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6483;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6528;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6533;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6666;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6739;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6776;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6778;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6810;-;False;allow;read
SID:S-1-5-21-3809049748-4289420245-1520328038-6817;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6839;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6845;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6893;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6917;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6923;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6943;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8175;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8376;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8672;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8757;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8966;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-9002;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-9058;-;False;allow;change
EHN\mrodriguez;user;False;allow;change
EHN\fmagallon;user;False;allow;change
